train_loss,train_acc,train_f1,train_map,train_subset_acc,test_loss,test_acc,test_f1,test_map,test_subset_acc
0.22812712,0.77345496,0.42377448,0.5922092,0.28151262,0.17677687958022145,0.8628316432516151,0.43801294225398624,0.6501860727216596,0.28475467289719625
0.16690029,0.87352747,0.45594382,0.6702661,0.31168905,0.1706626729291176,0.8773799683446082,0.4825873529521104,0.6639405140809924,0.3285630841121495
0.15950829,0.88857484,0.47797242,0.6899239,0.3282879,0.16622203741675226,0.8834071816685044,0.4808063851060154,0.678208385115472,0.3183411214953271
0.15181446,0.9107172,0.57795256,0.7579661,0.40117776,0.20425514647058238,0.8176669283447978,0.3495172400062329,0.6144492383872238,0.20327102803738317
0.09199633,0.9663103,0.72923356,0.87863094,0.5532279,0.14748509297861118,0.920183207387122,0.5579052965774715,0.7422759482793719,0.36507009345794394
0.07103107,0.9810823,0.79468524,0.92043364,0.6381526,0.1741551642663011,0.9107679306903732,0.5984107420266231,0.7655685142935994,0.4047897196261682
0.05773507,0.987025,0.83661866,0.9467535,0.68881047,0.25440835653342936,0.8317556977272034,0.47134237896616216,0.6751740853363108,0.3125
0.047568303,0.9903008,0.8703036,0.96168023,0.7375106,0.1528967147536367,0.9186488629501557,0.6641701540657293,0.8070155638400639,0.4804322429906542
0.03665775,0.994281,0.9000648,0.97497725,0.787335,0.2109134633825204,0.8817942905648847,0.6300229781141905,0.7861493218724973,0.4401285046728972
0.029195817,0.99527305,0.9227728,0.9822016,0.8283907,0.20254232146054785,0.8804836718835564,0.6465181284975783,0.7896082356711415,0.4681658878504673
0.024381991,0.9969762,0.935768,0.98614156,0.8550732,0.2472259816583072,0.873525171636421,0.6234410026363123,0.7671039238154331,0.4214369158878505
0.019809304,0.9975833,0.9497746,0.99068904,0.88358676,0.22531972923011423,0.8721037785583567,0.611468487253813,0.7660868535532015,0.4214369158878505
